ppm,Intensity
-102.185,-2.23742
-102.179,-2.2178
-102.173,-2.18836
-102.167,-2.16873
-102.161,-2.13929
-102.155,-2.11966
-102.148,-2.10004
-102.142,-2.0706
-102.136,-2.05097
-102.13,-2.03134
-102.124,-2.0019
-102.118,-1.98228
-102.112,-1.96265
-102.106,-1.94302
-102.1,-1.9234
-102.094,-1.89396
-102.088,-1.87433
-102.082,-1.8547
-102.076,-1.83508
-102.07,-1.81545
-102.063,-1.80564
-102.057,-1.78601
-102.051,-1.76639
-102.045,-1.74676
-102.039,-1.73695
-102.033,-1.71732
-102.027,-1.69769
-102.021,-1.68788
-102.015,-1.66825
-102.009,-1.65844
-102.003,-1.63881
-101.997,-1.629
-101.991,-1.61919
-101.985,-1.60937
-101.979,-1.58975
-101.972,-1.57993
-101.966,-1.57012
-101.96,-1.56031
-101.954,-1.55049
-101.948,-1.54068
-101.942,-1.54068
-101.936,-1.53087
-101.93,-1.52105
-101.924,-1.51124
-101.918,-1.51124
-101.912,-1.50143
-101.906,-1.50143
-101.9,-1.49161
-101.894,-1.49161
-101.888,-1.49161
-101.881,-1.4818
-101.875,-1.4818
-101.869,-1.4818
-101.863,-1.4818
-101.857,-1.4818
-101.851,-1.4818
-101.845,-1.4818
-101.839,-1.4818
-101.833,-1.4818
-101.827,-1.49161
-101.821,-1.49161
-101.815,-1.49161
-101.809,-1.50143
-101.803,-1.50143
-101.796,-1.51124
-101.79,-1.51124
-101.784,-1.52105
-101.778,-1.53087
-101.772,-1.54068
-101.766,-1.54068
-101.76,-1.55049
-101.754,-1.56031
-101.748,-1.57012
-101.742,-1.57993
-101.736,-1.58975
-101.73,-1.59956
-101.724,-1.61919
-101.718,-1.629
-101.712,-1.63881
-101.705,-1.64863
-101.699,-1.66825
-101.693,-1.67807
-101.687,-1.68788
-101.681,-1.70751
-101.675,-1.71732
-101.669,-1.73695
-101.663,-1.74676
-101.657,-1.76639
-101.651,-1.7762
-101.645,-1.79583
-101.639,-1.80564
-101.633,-1.82527
-101.627,-1.83508
-101.62,-1.8547
-101.614,-1.87433
-101.608,-1.88414
-101.602,-1.90377
-101.596,-1.91358
-101.59,-1.93321
-101.584,-1.95284
-101.578,-1.96265
-101.572,-1.98228
-101.566,-2.0019
-101.56,-2.01172
-101.554,-2.03134
-101.548,-2.04116
-101.542,-2.06078
-101.536,-2.0706
-101.529,-2.09022
-101.523,-2.10004
-101.517,-2.11966
-101.511,-2.12948
-101.505,-2.1491
-101.499,-2.15892
-101.493,-2.16873
-101.487,-2.18836
-101.481,-2.19817
-101.475,-2.20798
-101.469,-2.22761
-101.463,-2.23742
-101.457,-2.24724
-101.451,-2.25705
-101.445,-2.26686
-101.438,-2.27667
-101.432,-2.28649
-101.426,-2.2963
-101.42,-2.30611
-101.414,-2.31593
-101.408,-2.32574
-101.402,-2.33555
-101.396,-2.34537
-101.39,-2.35518
-101.384,-2.36499
-101.378,-2.37481
-101.372,-2.37481
-101.366,-2.38462
-101.36,-2.39443
-101.353,-2.39443
-101.347,-2.40425
-101.341,-2.41406
-101.335,-2.41406
-101.329,-2.42387
-101.323,-2.42387
-101.317,-2.43369
-101.311,-2.43369
-101.305,-2.4435
-101.299,-2.4435
-101.293,-2.4435
-101.287,-2.45331
-101.281,-2.45331
-101.275,-2.45331
-101.269,-2.46313
-101.262,-2.46313
-101.256,-2.46313
-101.25,-2.46313
-101.244,-2.46313
-101.238,-2.46313
-101.232,-2.47294
-101.226,-2.47294
-101.22,-2.47294
-101.214,-2.47294
-101.208,-2.47294
-101.202,-2.47294
-101.196,-2.47294
-101.19,-2.47294
-101.184,-2.47294
-101.177,-2.46313
-101.171,-2.46313
-101.165,-2.46313
-101.159,-2.46313
-101.153,-2.46313
-101.147,-2.46313
-101.141,-2.45331
-101.135,-2.45331
-101.129,-2.45331
-101.123,-2.4435
-101.117,-2.4435
-101.111,-2.4435
-101.105,-2.4435
-101.099,-2.43369
-101.093,-2.43369
-101.086,-2.42387
-101.08,-2.42387
-101.074,-2.42387
-101.068,-2.41406
-101.062,-2.41406
-101.056,-2.41406
-101.05,-2.40425
-101.044,-2.40425
-101.038,-2.39443
-101.032,-2.39443
-101.026,-2.39443
-101.02,-2.38462
-101.014,-2.38462
-101.008,-2.37481
-101.002,-2.37481
-100.995,-2.37481
-100.989,-2.36499
-100.983,-2.36499
-100.977,-2.36499
-100.971,-2.35518
-100.965,-2.35518
-100.959,-2.35518
-100.953,-2.34537
-100.947,-2.34537
-100.941,-2.34537
-100.935,-2.33555
-100.929,-2.33555
-100.923,-2.33555
-100.917,-2.32574
-100.91,-2.32574
-100.904,-2.32574
-100.898,-2.32574
-100.892,-2.31593
-100.886,-2.31593
-100.88,-2.31593
-100.874,-2.31593
-100.868,-2.30611
-100.862,-2.30611
-100.856,-2.30611
-100.85,-2.30611
-100.844,-2.30611
-100.838,-2.2963
-100.832,-2.2963
-100.826,-2.2963
-100.819,-2.2963
-100.813,-2.28649
-100.807,-2.28649
-100.801,-2.28649
-100.795,-2.28649
-100.789,-2.27667
-100.783,-2.27667
-100.777,-2.27667
-100.771,-2.27667
-100.765,-2.27667
-100.759,-2.26686
-100.753,-2.26686
-100.747,-2.26686
-100.741,-2.26686
-100.735,-2.26686
-100.728,-2.25705
-100.722,-2.25705
-100.716,-2.25705
-100.71,-2.25705
-100.704,-2.25705
-100.698,-2.24724
-100.692,-2.24724
-100.686,-2.24724
-100.68,-2.24724
-100.674,-2.24724
-100.668,-2.24724
-100.662,-2.24724
-100.656,-2.24724
-100.65,-2.24724
-100.643,-2.24724
-100.637,-2.24724
-100.631,-2.24724
-100.625,-2.24724
-100.619,-2.24724
-100.613,-2.24724
-100.607,-2.24724
-100.601,-2.24724
-100.595,-2.24724
-100.589,-2.25705
-100.583,-2.25705
-100.577,-2.25705
-100.571,-2.25705
-100.565,-2.26686
-100.559,-2.26686
-100.552,-2.26686
-100.546,-2.27667
-100.54,-2.27667
-100.534,-2.28649
-100.528,-2.28649
-100.522,-2.2963
-100.516,-2.2963
-100.51,-2.30611
-100.504,-2.30611
-100.498,-2.31593
-100.492,-2.32574
-100.486,-2.33555
-100.48,-2.33555
-100.474,-2.34537
-100.467,-2.35518
-100.461,-2.36499
-100.455,-2.37481
-100.449,-2.38462
-100.443,-2.39443
-100.437,-2.40425
-100.431,-2.41406
-100.425,-2.42387
-100.419,-2.43369
-100.413,-2.4435
-100.407,-2.45331
-100.401,-2.46313
-100.395,-2.47294
-100.389,-2.48275
-100.383,-2.49257
-100.376,-2.51219
-100.37,-2.52201
-100.364,-2.53182
-100.358,-2.54163
-100.352,-2.55145
-100.346,-2.57107
-100.34,-2.58089
-100.334,-2.5907
-100.328,-2.60051
-100.322,-2.62014
-100.316,-2.62995
-100.31,-2.63977
-100.304,-2.64958
-100.298,-2.6692
-100.292,-2.67902
-100.285,-2.68883
-100.279,-2.69864
-100.273,-2.70846
-100.267,-2.72808
-100.261,-2.7379
-100.255,-2.74771
-100.249,-2.75752
-100.243,-2.76734
-100.237,-2.77715
-100.231,-2.79678
-100.225,-2.80659
-100.219,-2.8164
-100.213,-2.82622
-100.207,-2.83603
-100.2,-2.84584
-100.194,-2.85566
-100.188,-2.86547
-100.182,-2.87528
-100.176,-2.8851
-100.17,-2.89491
-100.164,-2.90472
-100.158,-2.91454
-100.152,-2.91454
-100.146,-2.92435
-100.14,-2.93416
-100.134,-2.94398
-100.128,-2.95379
-100.122,-2.9636
-100.116,-2.9636
-100.109,-2.97342
-100.103,-2.98323
-100.097,-2.99304
-100.091,-2.99304
-100.085,-3.00286
-100.079,-3.01267
-100.073,-3.01267
-100.067,-3.02248
-100.061,-3.0323
-100.055,-3.0323
-100.049,-3.04211
-100.043,-3.04211
-100.037,-3.05192
-100.031,-3.05192
-100.024,-3.06174
-100.018,-3.06174
-100.012,-3.06174
-100.006,-3.07155
-100,-3.07155
-99.9942,-3.07155
-99.9881,-3.08136
-99.982,-3.08136
-99.9759,-3.08136
-99.9699,-3.08136
-99.9638,-3.08136
-99.9577,-3.08136
-99.9517,-3.08136
-99.9456,-3.08136
-99.9395,-3.08136
-99.9335,-3.08136
-99.9274,-3.08136
-99.9213,-3.08136
-99.9153,-3.08136
-99.9092,-3.08136
-99.9031,-3.07155
-99.8971,-3.07155
-99.891,-3.07155
-99.8849,-3.06174
-99.8789,-3.06174
-99.8728,-3.06174
-99.8667,-3.05192
-99.8606,-3.05192
-99.8546,-3.04211
-99.8485,-3.04211
