ppm,intensity
7.02391,247.283
7.17127,256.21
7.31863,259.476
7.46599,260.707
7.61335,269.247
7.76071,282.457
7.90807,287.736
8.05543,283.682
8.20279,280.611
8.35016,282.999
8.49752,288.315
8.64488,294.015
8.79224,297.707
8.9396,300.437
9.08696,305.689
9.23432,310.749
9.38168,313.486
9.52904,315.317
9.67641,313.08
9.82377,308.635
9.97113,306.176
10.1185,307.244
10.2659,314.032
10.4132,324.499
10.5606,334.898
10.7079,343.54
10.8553,354.182
11.0027,369.856
11.15,388.094
11.2974,404.943
11.4447,414.796
11.5921,417.727
11.7395,417.359
11.8868,416.673
12.0342,419.695
12.1815,425.679
12.3289,433.746
12.4763,444.285
12.6236,458.16
12.771,477.2
12.9184,497.973
13.0657,516.963
13.2131,537.202
13.3604,562.698
13.5078,591.742
13.6552,624.345
13.8025,662.854
13.9499,705.907
14.0972,752.047
14.2446,800.758
14.392,854.772
14.5393,917.269
14.6867,985.551
14.834,1056.07
14.9814,1128.05
15.1288,1200.6
15.2761,1272.64
15.4235,1341.31
15.5709,1407.12
15.7182,1472.19
15.8656,1534.39
16.0129,1591.43
16.1603,1639.98
16.3077,1682.3
16.455,1722.85
16.6024,1760.25
16.7497,1790.59
16.8971,1812.19
17.0445,1829.36
17.1918,1847.91
17.3392,1871.39
17.4865,1898.35
17.6339,1925.87
17.7813,1955.44
17.9286,1990.28
18.076,2033.18
18.2234,2087.04
18.3707,2153.22
18.5181,2230.85
18.6654,2321.16
18.8128,2428.57
18.9602,2553.72
19.1075,2694.49
19.2549,2851.57
19.4022,3024.67
19.5496,3212.32
19.697,3412.88
19.8443,3625.34
19.9917,3846.51
20.139,4068.02
20.2864,4282.69
20.4338,4483.52
20.5811,4661
20.7285,4808.18
20.8759,4922.42
21.0232,5005.43
21.1706,5057.82
21.3179,5076.8
21.4653,5066.7
21.6127,5033.1
21.76,4977.44
21.9074,4904.9
22.0547,4822.32
22.2021,4738.94
22.3495,4665.28
22.4968,4608.54
22.6442,4569.68
22.7916,4545.22
22.9389,4537.65
23.0863,4553.77
23.2336,4595.44
23.381,4655.82
23.5284,4727.81
23.6757,4815.9
23.8231,4923.72
23.9704,5047
24.1178,5182.12
24.2652,5326.58
24.4125,5478.99
24.5599,5638.91
24.7072,5799.31
24.8546,5944.1
25.002,6063.74
25.1493,6153.66
25.2967,6200.92
25.4441,6197.45
25.5914,6149.73
25.7388,6059.6
25.8861,5921.38
26.0335,5743.23
26.1809,5542.41
26.3282,5335.5
26.4756,5136.57
26.6229,4954.74
26.7703,4795.14
26.9177,4663.17
27.065,4567.07
27.2124,4507.25
27.3597,4477.51
27.5071,4475.04
27.6545,4500.39
27.8018,4554.46
27.9492,4637.21
28.0966,4745.99
28.2439,4877.23
28.3913,5024.07
28.5386,5180.52
28.686,5348.79
28.8334,5529.96
28.9807,5718.17
29.1281,5901.29
29.2754,6074.85
29.4228,6240.93
29.5702,6396.65
29.7175,6538.35
29.8649,6661.76
30.0122,6761.72
30.1596,6833.77
30.307,6879.99
30.4543,6903.5
30.6017,6905.22
30.7491,6884.53
30.8964,6838.18
31.0438,6768.47
31.1911,6679.81
31.3385,6576.42
31.4859,6463.9
31.6332,6343.6
31.7806,6214.82
31.9279,6077.41
32.0753,5930.22
32.2227,5773.39
32.37,5604.33
32.5174,5419.9
32.6647,5221.11
32.8121,5014.68
32.9595,4809.52
33.1068,4604.73
33.2542,4398.33
33.4016,4192.2
33.5489,3985.73
33.6963,3780.25
33.8436,3580.78
33.991,3386.81
34.1384,3193.66
34.2857,3004.88
34.4331,2824.78
34.5804,2655.5
34.7278,2497.94
34.8752,2351.31
35.0225,2214.17
35.1699,2084.98
35.3172,1966.65
35.4646,1858.08
35.612,1758.43
35.7593,1670.05
35.9067,1592.1
36.0541,1521.58
36.2014,1458.26
36.3488,1404.01
36.4961,1354.65
36.6435,1308
36.7909,1264.5
36.9382,1225.5
37.0856,1191.98
37.2329,1160.53
37.3803,1130.92
37.5277,1107.51
37.675,1093.22
37.8224,1081.56
37.9698,1064.86
38.1171,1045.32
38.2645,1028.08
38.4118,1015.5
38.5592,1008.38
38.7066,1004.65
38.8539,999.5
39.0013,990.575
39.1486,981.225
39.296,978.666
39.4434,985.422
39.5907,998.309
39.7381,1015.75
39.8854,1037.76
40.0328,1066.2
40.1802,1103.45
40.3275,1150.04
40.4749,1204.58
40.6223,1263.07
40.7696,1323.38
40.917,1387.73
41.0643,1461.72
41.2117,1544.15
41.3591,1626.97
41.5064,1708.86
41.6538,1788.47
41.8011,1862.78
41.9485,1932.03
42.0959,1991.72
42.2432,2037.93
42.3906,2072.32
42.5379,2090.23
42.6853,2085.88
42.8327,2064.3
42.98,2035.81
43.1274,2000.92
43.2748,1953.04
43.4221,1896.18
43.5695,1835.48
43.7168,1768.96
43.8642,1695.76
44.0116,1618.31
44.1589,1541.3
44.3063,1469.29
44.4536,1403.54
44.601,1340.56
44.7484,1276.17
44.8957,1213.37
45.0431,1157.67
45.1904,1109.54
45.3378,1071.44
45.4852,1046.03
45.6325,1030.67
45.7799,1021.1
45.9273,1017.97
46.0746,1023.94
46.222,1035.82
46.3693,1052.88
46.5167,1075.69
46.6641,1103.14
46.8114,1134.77
46.9588,1167.41
47.1061,1200.77
47.2535,1233.91
47.4009,1267.1
47.5482,1303.53
47.6956,1337.83
47.8429,1366.46
47.9903,1393.07
48.1377,1421.22
48.285,1456.32
48.4324,1501.81
48.5798,1557.92
48.7271,1621.49
48.8745,1687.76
49.0218,1757.73
49.1692,1831.01
49.3166,1900.3
49.4639,1958.62
49.6113,2003.18
49.7586,2033.08
49.906,2048.6
50.0534,2055.62
50.2007,2061.97
50.3481,2071.6
50.4955,2093.69
50.6428,2139.33
50.7902,2207.49
50.9375,2295.12
51.0849,2401.57
51.2323,2524.38
51.3796,2658.47
51.527,2798.19
51.6743,2942.25
51.8217,3088.35
51.9691,3233.48
52.1164,3369.17
52.2638,3486.39
52.4111,3581.71
52.5585,3655.6
52.7059,3711.99
52.8532,3749.35
53.0006,3767.78
53.148,3772.17
53.2953,3768.39
53.4427,3755.08
53.59,3725.42
53.7374,3682.9
53.8848,3633.91
54.0321,3579.02
54.1795,3518.09
54.3268,3453.93
54.4742,3384.42
54.6216,3305.41
54.7689,3221.67
54.9163,3138.65
55.0636,3056.62
55.211,2971.98
55.3584,2881.38
55.5057,2785.34
55.6531,2688.64
55.8005,2595.53
55.9478,2501.27
56.0952,2401.88
56.2425,2297.6
56.3899,2188.41
56.5373,2079.87
56.6846,1980.18
56.832,1888
56.9793,1799.12
57.1267,1718
57.2741,1647.15
57.4214,1585.45
57.5688,1533.17
57.7161,1494.42
57.8635,1472.4
58.0109,1466.82
58.1582,1477.79
58.3056,1502.8
58.453,1541.3
58.6003,1594.82
58.7477,1666.12
58.895,1757.81
59.0424,1873.89
59.1898,2014.73
59.3371,2172.74
59.4845,2346.42
59.6318,2534.17
59.7792,2725.75
59.9266,2913.67
60.0739,3095.92
60.2213,3266.51
60.3686,3418.79
60.516,3552.65
60.6634,3666.22
60.8107,3754.2
60.9581,3814.39
61.1055,3845.83
61.2528,3852.35
61.4002,3838.92
61.5475,3802.84
61.6949,3741.62
61.8423,3655.23
61.9896,3546.72
62.137,3419.38
62.2843,3274.34
62.4317,3118.48
62.5791,2962.96
62.7264,2815.93
62.8738,2675.21
63.0211,2535.73
