ppm,intensity
-40.7211,1.53426
-40.5738,1.77406
-40.4264,1.64722
-40.279,1.16535
-40.1317,0.764826
-39.9843,0.689393
-39.8369,1.11487
-39.6896,2.16833
-39.5422,3.21022
-39.3949,4.24883
-39.2475,5.27825
-39.1001,5.71757
-38.9528,5.64735
-38.8054,5.5358
-38.6581,5.58235
-38.5107,6.25078
-38.3633,7.36799
-38.216,8.12071
-38.0686,9.00886
-37.9213,10.0488
-37.7739,10.3853
-37.6265,9.88592
-37.4792,9.35526
-37.3318,9.67398
-37.1844,10.436
-37.0371,11.2613
-36.8897,12.0697
-36.7424,12.5091
-36.595,12.0128
-36.4476,10.1101
-36.3003,8.08105
-36.1529,7.01052
-36.0056,6.17722
-35.8582,5.49809
-35.7108,5.15624
-35.5635,4.48259
-35.4161,3.46747
-35.2688,2.61846
-35.1214,2.28841
-34.974,2.71422
-34.8267,2.8823
-34.6793,2.03372
-34.5319,1.3836
-34.3846,2.10086
-34.2372,3.9924
-34.0899,5.96478
-33.9425,6.7759
-33.7951,6.18248
-33.6478,4.9685
-33.5004,3.86088
-33.3531,3.59421
-33.2057,3.90279
-33.0583,3.95559
-32.911,4.08787
-32.7636,3.9895
-32.6162,3.212
-32.4689,2.50081
-32.3215,2.76596
-32.1742,3.73127
-32.0268,4.20629
-31.8794,4.04339
-31.7321,3.65455
-31.5847,4.00715
-31.4374,5.86929
-31.29,7.9749
-31.1426,8.40171
-30.9953,7.51237
-30.8479,7.18669
-30.7006,7.87638
-30.5532,8.92119
-30.4058,9.77462
-30.2585,10.335
-30.1111,9.95791
-29.9637,7.91626
-29.8164,4.77298
-29.669,2.18644
-29.5217,0.987071
-29.3743,0.502165
-29.2269,0.0865961
-29.0796,-0.593968
-28.9322,-0.910472
-28.7849,-0.250269
-28.6375,1.18155
-28.4901,3.25872
-28.3428,5.2856
-28.1954,6.25864
-28.0481,6.58629
-27.9007,6.72242
-27.7533,6.37181
-27.606,5.92057
-27.4586,5.69424
-27.3112,5.33261
-27.1639,4.46567
-27.0165,3.71832
-26.8692,3.72873
-26.7218,4.22312
-26.5744,4.32534
-26.4271,3.71703
-26.2797,3.23601
-26.1324,3.09826
-25.985,2.92595
-25.8376,3.34653
-25.6903,4.54852
-25.5429,5.27748
-25.3956,5.30285
-25.2482,5.16917
-25.1008,5.07087
-24.9535,5.33939
-24.8061,6.77205
-24.6587,8.56867
-24.5114,8.882
-24.364,8.72682
-24.2167,9.00879
-24.0693,9.01882
-23.9219,8.8379
-23.7746,8.70446
-23.6272,8.4934
-23.4799,7.5595
-23.3325,5.88578
-23.1851,4.53559
-23.0378,3.61259
-22.8904,2.60681
-22.7431,1.93894
-22.5957,2.23926
-22.4483,3.45765
-22.301,5.09293
-22.1536,6.09174
-22.0062,5.91531
-21.8589,5.26181
-21.7115,5.09764
-21.5642,5.78357
-21.4168,6.983
-21.2694,8.58461
-21.1221,10.1768
-20.9747,11.3327
-20.8274,11.5749
-20.68,10.2893
-20.5326,8.39847
-20.3853,6.80794
-20.2379,5.09493
-20.0906,3.38957
-19.9432,1.94084
-19.7958,0.594452
-19.6485,-0.0757476
-19.5011,0.531132
-19.3537,1.94024
-19.2064,2.8091
-19.059,3.14716
-18.9117,3.24885
-18.7643,2.65089
-18.6169,2.04039
-18.4696,2.04748
-18.3222,1.79241
-18.1749,0.502058
-18.0275,-0.904733
-17.8801,-1.19128
-17.7328,-0.306651
-17.5854,0.574987
-17.438,1.05658
-17.2907,1.37917
-17.1433,1.38733
-16.996,1.25919
-16.8486,1.33877
-16.7012,1.89376
-16.5539,2.52199
-16.4065,3.14408
-16.2592,3.98245
-16.1118,4.58178
-15.9644,4.82096
-15.8171,4.84891
-15.6697,4.59031
-15.5224,4.81411
-15.375,6.0911
-15.2276,7.68674
-15.0803,8.45691
-14.9329,7.78759
-14.7855,6.82522
-14.6382,6.64599
-14.4908,6.61745
-14.3435,6.29162
-14.1961,6.20963
-14.0487,6.6122
-13.9014,7.17112
-13.754,7.81867
-13.6067,8.11167
-13.4593,7.21954
-13.3119,5.66291
-13.1646,4.38206
-13.0172,3.61135
-12.8699,3.16333
-12.7225,2.52698
-12.5751,2.09857
-12.4278,3.10332
-12.2804,5.08808
-12.133,6.09433
-11.9857,6.5688
-11.8383,7.95989
-11.691,9.81349
-11.5436,10.8523
-11.3962,10.4215
-11.2489,9.49619
-11.1015,9.04801
-10.9542,8.88193
-10.8068,8.77873
-10.6594,8.46632
-10.5121,7.63191
-10.3647,6.69619
-10.2174,5.98538
-10.07,5.85167
-9.92263,6.65678
-9.77527,8.1164
-9.62791,9.41547
-9.48055,9.18196
-9.33318,7.32497
-9.18582,5.10214
-9.03846,3.4609
-8.8911,3.21754
-8.74374,4.08266
-8.59638,4.58805
-8.44902,4.31602
-8.30166,3.78908
-8.1543,3.67766
-8.00693,4.35802
-7.85957,5.67841
-7.71221,7.28676
-7.56485,8.50077
-7.41749,9.2133
-7.27013,9.53436
-7.12277,8.87082
-6.97541,7.8754
-6.82804,8.01367
-6.68068,8.95913
-6.53332,9.98716
-6.38596,10.6375
-6.2386,10.1958
-6.09124,9.18032
-5.94388,8.18817
-5.79652,6.87735
-5.64916,5.53636
-5.50179,4.75952
-5.35443,4.22441
-5.20707,3.22194
-5.05971,2.32314
-4.91235,2.55602
-4.76499,4.08253
-4.61763,6.10176
-4.47027,7.21451
-4.32291,7.3063
-4.17554,6.79582
-4.02818,5.89177
-3.88082,4.91997
-3.73346,4.61875
-3.5861,5.56628
-3.43874,6.82392
-3.29138,7.50156
-3.14402,7.22086
-2.99665,5.83407
-2.84929,4.13393
-2.70193,3.52407
-2.55457,3.74322
-2.40721,3.26845
-2.25985,2.45188
-2.11249,1.90184
-1.96513,1.29343
-1.81777,1.20443
-1.6704,1.71695
-1.52304,1.62854
-1.37568,0.929755
-1.22832,0.952953
-1.08096,2.27539
-0.933598,3.85165
-0.786237,4.69014
-0.638876,5.29566
