ppm,intensity
4.51877,139.768
4.66613,148.414
4.81349,147.173
4.96085,142.487
5.10821,142.835
5.25557,145.677
5.40293,146.973
5.55029,150.209
5.69765,157.9
5.84502,164.654
5.99238,167.358
6.13974,166.34
6.2871,158.821
6.43446,148.07
6.58182,138.725
6.72918,129.492
6.87654,119.912
7.02391,115.442
7.17127,118.17
7.31863,127.605
7.46599,142.163
7.61335,153.591
7.76071,157.892
7.90807,155.341
8.05543,150.66
8.20279,151.007
8.35016,154.894
8.49752,156.474
8.64488,154.712
8.79224,152.496
8.9396,152.427
9.08696,154.71
9.23432,159.172
9.38168,165.095
9.52904,170.316
9.67641,172.608
9.82377,168.721
9.97113,162.55
10.1185,161.579
10.2659,168.138
10.4132,178.099
10.5606,189.545
10.7079,205.168
10.8553,221.278
11.0027,233.553
11.15,239.747
11.2974,243.775
11.4447,251.724
11.5921,262.965
11.7395,273.257
11.8868,281.429
12.0342,289.081
12.1815,295.833
12.3289,304.827
12.4763,314.811
12.6236,323.221
12.771,332.872
12.9184,346.986
13.0657,368.608
13.2131,394.933
13.3604,422.825
13.5078,453.397
13.6552,487.368
13.8025,526.144
13.9499,570.527
14.0972,618.261
14.2446,668.433
14.392,722.946
14.5393,784.099
14.6867,852.433
14.834,928.39
14.9814,1012.66
15.1288,1102.6
15.2761,1191.66
15.4235,1275.23
15.5709,1353.42
15.7182,1426.94
15.8656,1500.78
16.0129,1573.37
16.1603,1638.83
16.3077,1699.16
16.455,1751.86
16.6024,1793.96
16.7497,1828.27
16.8971,1858.14
17.0445,1884.68
17.1918,1909.93
17.3392,1937.1
17.4865,1966.77
17.6339,2000.14
17.7813,2037.43
17.9286,2077.83
18.076,2122.44
18.2234,2173.22
18.3707,2231.46
18.5181,2303.1
18.6654,2397.23
18.8128,2514.01
18.9602,2646.69
19.1075,2796.98
19.2549,2975.56
19.4022,3184.77
19.5496,3419.32
19.697,3678.27
19.8443,3960.7
19.9917,4259.63
20.139,4568.44
20.2864,4878.63
20.4338,5176.09
20.5811,5450.77
20.7285,5692.13
20.8759,5888.71
21.0232,6038.69
21.1706,6144.44
21.3179,6210.85
21.4653,6240.19
21.6127,6228.13
21.76,6176.17
21.9074,6091.07
22.0547,5980.4
22.2021,5855.35
22.3495,5737.08
22.4968,5642.19
22.6442,5565.79
22.7916,5502.59
22.9389,5459.62
23.0863,5443.81
23.2336,5452.92
23.381,5483.37
23.5284,5539.53
23.6757,5629.99
23.8231,5753.98
23.9704,5903.75
24.1178,6076.63
24.2652,6269.69
24.4125,6478.03
24.5599,6695.72
24.7072,6915.52
24.8546,7128.52
25.002,7324.38
25.1493,7490.1
25.2967,7609.15
25.4441,7667.07
25.5914,7654.31
25.7388,7566.23
25.8861,7408.01
26.0335,7196.32
26.1809,6952.6
26.3282,6695.51
26.4756,6434.11
26.6229,6177.55
26.7703,5939.77
26.9177,5739.94
27.065,5592.15
27.2124,5491.32
27.3597,5430.7
27.5071,5406.29
27.6545,5414.17
27.8018,5456.78
27.9492,5536.53
28.0966,5647.5
28.2439,5786.78
28.3913,5957.44
28.5386,6153.84
28.686,6368.37
28.8334,6596.14
28.9807,6830.94
29.1281,7068.47
29.2754,7305.69
29.4228,7540.21
29.5702,7768.52
29.7175,7982.22
29.8649,8169.79
30.0122,8322.79
30.1596,8441.7
30.307,8528.71
30.4543,8582.93
30.6017,8602.07
30.7491,8586.42
30.8964,8544.3
31.0438,8483.86
31.1911,8404.92
31.3385,8303.93
31.4859,8183.43
31.6332,8048.94
31.7806,7899.83
31.9279,7732.01
32.0753,7550.17
32.2227,7361.4
32.37,7163.57
32.5174,6953.07
32.6647,6728.86
32.8121,6491.21
32.9595,6243.15
33.1068,5987.65
33.2542,5725.04
33.4016,5459.97
33.5489,5196.94
33.6963,4937.74
33.8436,4679.95
33.991,4421.45
